"gene","lfc","padj","tissue","comparison"
"Celf4",0.669603904365111,0.0927192732623518,"DG","home.cage-standard.yoked"
"Celf5",0.887474115518076,0.0403908644505588,"DG","home.cage-standard.yoked"
"Cenpq",6.23625541275549,0.0365889832941359,"DG","home.cage-standard.yoked"
"Cep128",-3.94340071838201,0.0747020256563216,"DG","home.cage-standard.yoked"
"Cep135",-3.02311227439445,0.0685043488717063,"DG","home.cage-standard.yoked"
"Cep290",-3.39477369562205,0.0403820496889105,"DG","home.cage-standard.yoked"
"Cetn4",-4.63151294315369,0.0265681999579089,"DG","home.cage-standard.yoked"
"Cfl1",1.27718234848387,0.0599513060021954,"DG","home.cage-standard.yoked"
"Chchd4",2.68137056206108,0.00156076328979684,"DG","home.cage-standard.yoked"
"Chd1l",-3.54120398840133,0.0444861340874056,"DG","home.cage-standard.yoked"
"Chdh",-5.73075157336333,0.0193208277667859,"DG","home.cage-standard.yoked"
"Chkb",1.87571348882719,0.0423981666128603,"DG","home.cage-standard.yoked"
"Chpf",1.40520353844751,0.0747020256563216,"DG","home.cage-standard.yoked"
"Chpt1",-1.87515868817887,0.0831725505696194,"DG","home.cage-standard.yoked"
"Chst11",2.59983483730071,0.0462757024509707,"DG","home.cage-standard.yoked"
"Chst2",2.09098916664315,0.00950096028950003,"DG","home.cage-standard.yoked"
"Chsy3",-4.02079999043171,0.0284228628365918,"DG","home.cage-standard.yoked"
"Chuk",1.60372234015187,0.0599513060021954,"DG","home.cage-standard.yoked"
"Cidea",-4.69694355008539,0.030778138939428,"DG","home.cage-standard.yoked"
"Ckb",0.776853066260865,0.096857343276949,"DG","home.cage-standard.yoked"
"Clic4",-4.00111825990307,0.0238784107365839,"DG","home.cage-standard.yoked"
"Clk4",2.15336538092812,0.00473860777025816,"DG","home.cage-standard.yoked"
"Clpb",1.63729388570262,0.0836863778831634,"DG","home.cage-standard.yoked"
"Cluap1",2.43507906650625,0.00503217808391665,"DG","home.cage-standard.yoked"
"Cnnm1",1.01993523071613,0.0673556069823923,"DG","home.cage-standard.yoked"
"Cnot11",2.74934189461679,0.00581743755223828,"DG","home.cage-standard.yoked"
"Cnot4",-1.91284885807282,0.0534795231662312,"DG","home.cage-standard.yoked"
"Cnp",-1.93948038717744,0.0302671693697673,"DG","home.cage-standard.yoked"
"Cntrl",1.98040221601139,0.07452891118319,"DG","home.cage-standard.yoked"
"Cntrob",2.95089954560528,0.00129728228870421,"DG","home.cage-standard.yoked"
"Cog2",3.33482405915853,0.00127722530066715,"DG","home.cage-standard.yoked"
"Comt",1.4950829381697,0.0973225397076204,"DG","home.cage-standard.yoked"
"Coro2b",1.2462582343467,0.0191647979991611,"DG","home.cage-standard.yoked"
"Cox15",2.59544253216221,0.0327147472777671,"DG","home.cage-standard.yoked"
"Cox4i1",1.89354894328038,0.00335457987536217,"DG","home.cage-standard.yoked"
"Cox7a2l",1.51721994468536,0.0116095771483362,"DG","home.cage-standard.yoked"
"Cpeb2",1.95856039153847,0.065192556363569,"DG","home.cage-standard.yoked"
"Cpne1",-2.42542184562942,0.0854135891302886,"DG","home.cage-standard.yoked"
"Cpne4",1.95620100402832,0.0137865393349566,"DG","home.cage-standard.yoked"
